channel,mean_coherence_all_freqs,std_coherence_all_freqs,max_coherence,freq_at_max_coherence,band_mean_coherence,band_std_coherence,band_valid_bins,band_total_bins,band_nan_fraction,time_domain_corr,std,rms
H1_PSL_PMC_HV_MON_OUT_DQ,0.015856308526163515,0.0668427768530806,0.9482684546613378,180.0,0.2786768229653906,0.21265364892914462,41,41,0.0,-1.2472919839851896e-05,0.003882138966380377,3.698026693650763
H1_IMC_DOF_2_P_IN1_DQ,0.013660173830796462,0.06412677390692269,0.8136323922330476,60.0,0.2782466705452612,0.21316442174954925,41,41,0.0,-9.211908415626197e-05,2.450455546878086,2.456503744445467
H1_IMC_WFS_A_Q_YAW_OUT_DQ,0.016362810843503137,0.06389548314022611,0.7337894998993307,177.0,0.27656281497270135,0.2169976961106698,41,41,0.0,1.1755051283013189e-05,259.04997358244157,717.6013119159184
H1_IMC_WFS_A_DC_PIT_OUT_DQ,0.023072187219626575,0.06398937619968374,0.7264522775523226,177.0,0.2754272982864865,0.2080849653050393,41,41,0.0,-9.7088352034065e-05,0.04217762886413099,0.08307808196466979
H1_PSL_PMC_MIXER_OUT_DQ,0.013281368081916253,0.06953470759196505,0.9431509553706882,180.0,0.27436229134500445,0.2123002095187485,41,41,0.0,-0.0002762788620117872,0.00010002640261230152,0.0003682047903261468
H1_IMC_WFS_A_Q_PIT_OUT_DQ,0.012461385771517675,0.061368677111168286,0.7288317793845196,177.0,0.2734967283068868,0.21303393861598743,41,41,0.0,-4.515018008390118e-06,280.551226691661,883.846422045445
H1_PEM_CS_ACC_PSL_PERISCOPE_Y_DQ,0.0275012547240254,0.06020488474231594,0.7509672057051339,177.0,0.26152078170393184,0.22663466125338913,41,41,0.0,1.8649954759839505e-05,151.70419775765149,151.77589080941272
H1_IMC_DOF_1_P_IN1_DQ,0.00896950658162722,0.05358911920511783,0.6828507833310486,121.5,0.23752419634928318,0.20791629040069617,41,41,0.0,3.123593835190595e-05,0.14095089206256015,0.14255112925797703
H1_HPI_HAM1_BLND_L4C_RY_IN1_DQ,0.008950914670599375,0.04936033861117902,0.7175702743306647,177.0,0.22992625501478392,0.1901959703920624,41,41,0.0,-4.371530389928126e-06,326.34603640941793,327.2994662265016
H1_LSC_PRCL_IN1_DQ,0.015185065372550556,0.06784116478052606,0.9889806655924128,60.0,0.22762611465714214,0.20136186014960036,41,41,0.0,-0.0276586499669733,0.14340711778731016,0.14340711781793425
H1_LSC_POP_A_RF9_I_ERR_DQ,0.015280361556590285,0.06782757801940836,0.9889790668919806,60.0,0.22762288478637918,0.20135549120060214,41,41,0.0,-0.02753968726799709,116.87943683964488,116.87943686574417
H1_LSC_PRCL_OUT_DQ,0.014807040259940637,0.0675023275048968,0.9889761498232714,60.0,0.22762106141240743,0.20135507944681005,41,41,0.0,4.0571630118186675e-05,8887.390633508998,8887.452747593952
H1_PEM_CS_ACC_LVEAFLOOR_BS_Y_DQ,0.006558877632901965,0.04361438357641048,0.6689188281610994,121.5,0.2256259670721648,0.2021674542087747,41,41,0.0,0.00028173881503911987,9.092943398791622,21.24258892364611
H1_HPI_HAM4_BLND_L4C_RX_IN1_DQ,0.007163081549065336,0.04619779403873009,0.6828094720556837,177.0,0.22553725755327336,0.18491183609380413,41,41,0.0,0.00013953178169693486,244.00145916071088,244.38027881503413
H1_IMC_IM4_TRANS_YAW_OUT_DQ,0.00886583527886767,0.05579428318127223,0.8163109049426092,60.0,0.22195623915069387,0.20284966376468302,41,41,0.0,-8.661594679732646e-05,0.0005012321801052314,0.3013942433944914
H1_HPI_HAM2_BLND_L4C_Z_IN1_DQ,0.008193112562990285,0.050771364327647325,0.8385197414036119,180.0,0.21465797806088546,0.17507963847029961,41,41,0.0,-0.00015720192018284254,635.9668762556947,635.9712674312947
H1_HPI_HAM4_BLND_L4C_Y_IN1_DQ,0.00716071999590853,0.044718338946589505,0.6938989553581358,177.0,0.21458182681385118,0.1700544917875659,41,41,0.0,0.00021954181529219166,473.7792922242989,474.1616360824515
H1_HPI_HAM6_BLND_L4C_Y_IN1_DQ,0.006755943976697555,0.043661996099536506,0.5842124919058198,122.5,0.21371020580180547,0.17869375387831843,41,41,0.0,0.0001744599538818904,527.0493572863066,527.6245254821162
H1_HPI_HAM4_BLND_L4C_Z_IN1_DQ,0.006811003220271765,0.04408727970154049,0.6562209335823953,121.5,0.21232201463578712,0.19294309264558293,41,41,0.0,0.0019421043989844987,619.6953850235394,619.7050607155539
H1_PEM_CS_ACC_LVEAFLOOR_HAM1_Y_DQ,0.008324039802155347,0.048499129374194976,0.6640635695070698,177.0,0.21153777617715022,0.19580199398250586,41,41,0.0,0.00047584341382682767,8.099121926829222,178.46386462606463
H1_HPI_HAM5_BLND_L4C_Z_IN1_DQ,0.007422931683830231,0.04563186877992156,0.6958458555327048,177.0,0.209664399047482,0.18080194293230345,41,41,0.0,-0.00028563349355813683,741.5069012221879,741.6931212547408
H1_HPI_HAM3_BLND_L4C_X_IN1_DQ,0.006698547523613762,0.043103178461208404,0.6504902347931781,177.0,0.20897297652486904,0.17741447864390078,41,41,0.0,-0.0013448987062191775,372.4650180526025,372.53646165731476
H1_HPI_HAM5_BLND_L4C_RX_IN1_DQ,0.007145678572457418,0.04492163130880194,0.6910259235887833,177.0,0.20881179270480305,0.17707551941157598,41,41,0.0,-2.400844329033177e-05,483.8919867602618,485.15353208312143
H1_HPI_HAM4_BLND_L4C_HP_IN1_DQ,0.006790151449044824,0.04341085836839569,0.6286187940534308,122.0,0.20873110720452212,0.1839608900775506,41,41,0.0,-4.112770923868163e-06,408.47665137664575,410.1017925783413
H1_HPI_HAM1_BLND_L4C_RX_IN1_DQ,0.009336216124345733,0.05686194648483172,0.8863890553404149,180.0,0.20829892861581942,0.21186601105873237,41,41,0.0,4.637210474305133e-05,456.34094720663234,456.4123779277664
H1_HPI_HAM3_BLND_L4C_RZ_IN1_DQ,0.006441717946054109,0.04161971482150617,0.6712330824077603,121.5,0.2079912405824206,0.18537838148357624,41,41,0.0,0.00025578468005709273,110.34597280324313,110.85718607896438
H1_HPI_HAM3_BLND_L4C_HP_IN1_DQ,0.0063606179966107824,0.043166919601921296,0.6605549378704838,121.5,0.2077582431254436,0.18875101448752463,41,41,0.0,0.00015724993102934204,217.79632145019718,220.57874048853927
