channel,mean_coherence_all_freqs,std_coherence_all_freqs,max_coherence,freq_at_max_coherence,band_mean_coherence,band_std_coherence,band_valid_bins,band_total_bins,band_nan_fraction,time_domain_corr,std,rms
H1_SUS_FC2_M1_DAMP_Y_IN1_DQ,0.0008085241497578738,0.011940828214010766,0.46791170348224537,60.0,0.0016751278138016253,0.007443400581853327,41,41,0.0,-1.1205994532685486e-05,0.08283694430226919,58.712985935619244
H1_SUS_FC1_M1_DAMP_Y_IN1_DQ,0.0007112181883412579,0.008040431236494557,0.31894327757617563,60.0,0.0016440206268301212,0.006843438017853586,41,41,0.0,4.2866315035026745e-05,0.019103276272142363,82.88734401782563
H1_PEM_EX_EFM_BSC9_ETMX_Y_OUT_DQ,0.002911561447646533,0.03882015918463601,0.985195304679872,60.0,0.0016261228991235133,0.006794445007390114,41,41,0.0,-0.013304365208966424,0.8633215976915299,130.20475507765525
H1_SQZ_OMC_TRANS_RF3_Q_NORM_DQ,0.0006643756090149342,0.0009149430398328601,0.029810345307814907,120.0,0.0016260143032027971,0.00472349025118107,41,41,0.0,-0.003765965862012404,0.0027090247827556923,0.23858313003049064
H1_SUS_FC1_M1_DAMP_P_IN1_DQ,0.0004347503768886182,0.0018161743492638724,0.052664929295378096,960.0,0.0016086501589293565,0.006943190610030464,41,41,0.0,-0.0015013620871123516,0.03872422258013691,824.169210698365
H1_SUS_ITMY_L1_WIT_Y_DQ,0.0013603191424870057,0.026291997257632326,0.8503661318773572,60.0,0.001604983312588099,0.006413225867795976,41,41,0.0,-0.0002543844468255228,0.028057435414261894,920.1701054354579
H1_ASC_Y_TR_A_YAW_OUT_DQ,0.0013000654813670506,0.017001023117663504,0.4786049755069582,60.0,0.0015946377217700134,0.006999460095948331,41,41,0.0,0.0008279497405716113,0.002290925250825778,0.10854168236172039
H1_SUS_FC1_M3_WIT_L_DQ,0.0008220555670842259,0.011371159860198758,0.45059090324725964,60.0,0.0015609924585580299,0.006880305853770169,41,41,0.0,-4.5593383950922246e-05,0.022984198346390084,5.243886614580592
H1_SUS_ETMY_L3_OPLEV_YAW_OUT_DQ,0.00041088994896062503,0.0014630479832329355,0.04016076117969812,960.0,0.0015439602132697424,0.00619684051197055,41,41,0.0,-0.00020541678445901658,0.06029303043556827,14.043851260339256
H1_SUS_IM1_M1_DAMP_Y_IN1_DQ,0.0013719501243463028,0.026269704521415242,0.8467732810387597,60.0,0.001525519035972251,0.006971768353906088,41,41,0.0,0.0029228489224940274,0.03065938138218316,713.3810431170856
H1_SUS_FC1_M2_WIT_L_DQ,0.0006899716631142346,0.009010462676907296,0.3630074937869614,60.0,0.0014672361307680824,0.005309895496065425,41,41,0.0,5.003304868765556e-05,0.012205567079050753,14.180262732255878
H1_SUS_ITMX_L2_WIT_Y_DQ,0.0010390202333721858,0.017984860016096317,0.6641597878255824,60.0,0.0014589951856638775,0.0019406463241517966,41,41,0.0,-0.0001263238316853263,0.02509245905458026,205.33879242785954
H1_SUS_SR2_M3_WIT_L_DQ,0.001214394738639786,0.022498918700284,0.7739656009321693,60.0,0.001439417435036253,0.0051907657957440245,41,41,0.0,-8.598235602711121e-06,0.009993737490288082,90.50832422069946
H1_SUS_ZM6_M1_DAMP_L_IN1_DQ,0.0007148855053377887,0.007771174766129934,0.3071099045743265,60.0,0.0014231532119141884,0.00244698161071347,41,41,0.0,0.0005327071752124328,0.0029322382940539207,1.7873211515094913
H1_ASC_X_TR_A_PIT_OUT_DQ,0.0016635552964303294,0.023902957348450618,0.6483371852213855,60.0,0.001392271484653265,0.005940309116394447,41,41,0.0,4.8577070975793764e-05,0.0024614326380695104,0.11381744390561041
H1_PEM_EY_ADC_0_12_OUT_DQ,0.0006128855726145027,0.00442577376913415,0.15368696961863298,180.0,0.0013185250127988241,0.004587713550671287,41,41,0.0,-0.0008739531769108785,25.37930306067477,57.25167419954283
H1_SUS_IM2_M1_DAMP_L_IN1_DQ,0.0005866281429655072,0.005583838619314307,0.22936672795862284,60.0,0.0012911346965075218,0.004874495665014744,41,41,0.0,-0.00010049262588265907,0.0019751573738905244,106.09828950901883
H1_PEM_FCES_ACC_BEAMTUBE_FCTUBE_X_DQ,0.0005878185062331917,0.006189411598195892,0.25178293054095335,60.0,0.0012411237596758433,0.005326306645973209,41,41,0.0,0.00033730202496523994,3.491490507993359,5.4227964065841245
H1_ASC_AS_B_RF72_I_SUM_OUT_DQ,0.0035113221975035247,0.048757314944629086,0.9728734546777738,60.0,0.001240017318896159,0.003921310705342072,41,41,0.0,-0.00019041900048643922,1.2131948721385692,674.2194692502328
H1_ISI_ETMX_ST1_BLND_Z_T240_CUR_IN1_DQ,0.002000523281910335,0.03765187083645039,0.9902174014641396,60.0,0.0012304118066467995,0.004910469676554138,41,41,0.0,-5.334763275623188e-05,31.698749808999814,81.7388826420586
H1_SUS_MC3_M1_DAMP_L_IN1_DQ,0.0007101469997554655,0.007481069763826877,0.28053500589303015,60.0,0.0012273934878391504,0.004944307323720864,41,41,0.0,-1.545291339452473e-05,0.003410369752162879,14.104632790206818
H1_SUS_ZM5_M1_DAMP_L_IN1_DQ,0.0007725749141245635,0.009429815892080367,0.3410999391258468,60.0,0.0012209078245213562,0.0020157183333572187,41,41,0.0,1.9352301469891206e-05,0.003058448178965224,47.0992241909333
H1_SUS_ZM4_M1_DAMP_L_IN1_DQ,0.0007346901686860946,0.008998607476328212,0.3263129762459143,60.0,0.001217231054872004,0.002016517287211264,41,41,0.0,-1.530354733409689e-05,0.002668963003460378,42.112392508866115
H1_SUS_PR2_M2_WIT_P_DQ,0.0008037778895923348,0.012246714731668,0.48626134315233865,60.0,0.0012142002883040884,0.004435935181826074,41,41,0.0,-0.0001306966927176799,0.08376718241723811,983.3735590483606
H1_SUS_PRM_M2_WIT_L_DQ,0.0009086471916072385,0.012656557526278575,0.48911852782911663,60.0,0.001186905095618977,0.005180567044775184,41,41,0.0,2.9301477838439874e-05,0.1904641300959103,4.270536744837071
H1_SUS_IM1_M1_DAMP_P_IN1_DQ,0.0012827873803062,0.024330362847374325,0.815987679645315,60.0,0.0011707120347336393,0.0038842661691579346,41,41,0.0,4.7050777039692076e-05,0.030255607764883077,3022.895263815409
H1_SUS_SR2_M2_WIT_P_DQ,0.0010289497046948504,0.017444935074491463,0.6534170508672673,60.0,0.001135215746076288,0.00298687943263605,41,41,0.0,-0.0002227976842345659,0.03960185199751673,57.55203719481712
H1_SUS_PR3_M2_WIT_L_DQ,0.0012848840957613785,0.02172819558775137,0.7511037721629131,60.0,0.0011329081509174237,0.0036258183899791833,41,41,0.0,-0.00042023376192362245,0.005346044533669618,7.8306701154574485
H1_PSL_BES_A_SUM_OUT_DQ,0.0007215091667329352,0.009964278506655667,0.38985426164903597,60.0,0.0011271621593756638,0.0038869283449693226,41,41,0.0,-1.3735436357898695e-05,43.39148136683427,68535.74912567672
H1_SUS_MC2_M2_WIT_P_DQ,0.000991256947319057,0.01599023373859529,0.6012076813955463,60.0,0.0010772914698147882,0.004224969588425912,41,41,0.0,0.00022281518058033333,0.13254630545420518,238.53664265728798
H1_SUS_SR3_M3_OPLEV_SUM_OUT_DQ,0.0005248388123812475,0.005101555540544433,0.21138390895476206,60.0,0.0010616779721409752,0.0012958979658807303,41,41,0.0,-2.1593693080699848e-05,5.835032769042947,24612.24092685879
H1_ISI_BS_ST2_BLND_Y_GS13_CUR_IN1_DQ,0.002486911353839866,0.03465326608030516,0.9480915204103506,180.0,0.0010466537042646334,0.0012341187436881575,41,41,0.0,0.0002710899803450559,2.171724972686958,6.728002705334175
H1_SUS_ETMY_L1_WIT_L_DQ,0.0008981874863798653,0.014105167595923484,0.5484062492380082,60.0,0.0010371155295963387,0.0036096178746357938,41,41,0.0,-1.8244255723336194e-05,0.14701691676659454,21.58689653297175
H1_PEM_CS_RADIO_ROOF1_BROADBAND_DQ,0.0003567680159245076,0.0007141010458903361,0.026119947007571833,120.0,0.001030266112768567,0.0040449965935616524,41,41,0.0,-3.4838796777735784e-05,24.142727749131982,24.14802775185858
H1_SUS_FC2_M1_DAMP_P_IN1_DQ,0.0005051428101353759,0.004370906820813515,0.1807031036409349,60.0,0.0010163211744329149,0.0037485052299320158,41,41,0.0,-6.65502371134309e-05,0.08428306494099815,1427.9254989623919
H1_SUS_MC3_M1_DAMP_V_IN1_DQ,0.0006671164247710966,0.007238873762932152,0.2831763373434065,60.0,0.0010055921442517568,0.0036308478683823196,41,41,0.0,-2.289025328221499e-05,0.02679720994334101,67.09275081204342
H1_SUS_SRM_M1_DAMP_L_IN1_DQ,0.0012646146794387967,0.022644195259429848,0.7798481127170804,60.0,0.0009780272678964917,0.0029709409686925637,41,41,0.0,-2.735696226381763e-05,0.13088353061594807,13.100055005415205
H1_ISI_ETMX_ST1_BLND_RZ_T240_CUR_IN1_DQ,0.0017104058712702056,0.028938454595503878,0.8821181216304432,60.0,0.0009715405605566376,0.0026280967341705567,41,41,0.0,-0.00023953766263260068,9.151580474141722,122.5599296458229
H1_ASC_CSOFT_P_OUT_DQ,0.0016237220653615143,0.017284798778849562,0.43028173078684434,9.0,0.0009667300520940201,0.00300595762085531,41,41,0.0,-0.01092285607447432,180.75909634500945,180.75909648931557
H1_SQZ_OPO_SERVO_SLOW_OUT_DQ,0.0035943844780256754,0.05005241988147781,0.9844236323961233,60.0,0.0009646171427309288,0.0029243518976323373,41,41,0.0,6.500837624700188e-06,0.006600223387738209,0.38608982781443374
H1_SUS_ETMY_M0_DAMP_T_IN1_DQ,0.000638438433005033,0.00866216793428213,0.3547455852654948,60.0,0.0009620619076493034,0.0035236023032810685,41,41,0.0,0.0002681284370825444,0.006117334046769329,72.69294510177568
H1_ISI_ITMY_ST2_BLND_X_GS13_CUR_IN1_DQ,0.0020739392900109813,0.02779733397581041,0.8090470320738302,180.0,0.0009618036213777741,0.003515916605436106,41,41,0.0,-4.161037705783748e-05,1.1424247709979447,2.887288624120345
H1_SUS_RM1_M1_DAMP_L_IN1_DQ,0.0008501149744698088,0.009155725695568028,0.28109968562457105,60.0,0.0009418838523608578,0.0026600755606738416,41,41,0.0,3.185347741507911e-05,0.004946112714831502,39.226380977262004
H1_ASC_REFL_A_DC_PIT_OUT_DQ,0.00046413628755809217,0.002677019680741451,0.1037078612382122,20.0,0.0009313101120524429,0.0011735957557131823,41,41,0.0,0.00032751718053444773,0.003467370549991519,0.0034707644706561853
H1_ASC_REFL_B_DC_YAW_OUT_DQ,0.00042265350529352094,0.0012762240316434713,0.03355785628443789,3.0,0.0009227472096274863,0.000995719595585181,41,41,0.0,-0.0008494103384984127,0.009052602641316883,0.009052613968697982
H1_SUS_ITMY_L1_WIT_P_DQ,0.001249979666149446,0.022733664980194284,0.7816971430353359,60.0,0.0008977034699404133,0.0034600131614129785,41,41,0.0,-0.0007466122493888804,0.020334785323807985,416.93555754698997
H1_SUS_SR2_M2_WIT_L_DQ,0.0009131580815842934,0.015239383183815562,0.5842472677612793,60.0,0.0008908319526551896,0.0024714109554051663,41,41,0.0,0.0001684495534231337,0.007292579689266044,79.98897585533906
H1_SUS_PRM_M1_DAMP_V_IN1_DQ,0.00045798000929903266,0.0020423661289900178,0.06610524900582412,60.0,0.0008852038028292033,0.002595939295591683,41,41,0.0,-2.638250934347959e-05,0.019671498363896176,45.69239849118998
H1_ISI_ETMX_ST1_BLND_RX_T240_CUR_IN1_DQ,0.0019601193526283906,0.03747274574954634,0.9890532055364372,60.0,0.0008688330343045021,0.003739631670563912,41,41,0.0,0.00022504992136956949,25.90081981002875,186.3987797817755
H1_SUS_OMC_M1_DAMP_L_IN1_DQ,0.0004150169056449781,0.0016060164227800567,0.0695706020821644,60.0,0.0008631575323577066,0.0012335645458515742,41,41,0.0,-3.0273746139191258e-06,0.04522871181263034,118.03321433346393
H1_SUS_ITMX_M0_DAMP_L_IN1_DQ,0.0006822065935347314,0.00827188359169958,0.33541912496776133,60.0,0.0008607138362383653,0.0021317585574819396,41,41,0.0,0.0018230837620740715,0.0037587295542883957,78.4392523074436
H1_SUS_BS_M2_WIT_L_DQ,0.0013554052192902408,0.019244950213686645,0.6934377495854007,60.0,0.000853878021970966,0.00242847782274007,41,41,0.0,-1.3011133961908185e-06,0.08464082301514465,3.655745494739514
H1_SUS_SR2_M3_WIT_Y_DQ,0.001028403461949594,0.017379183852912844,0.6419511351898564,60.0,0.0008287538707761233,0.0025529379696650183,41,41,0.0,0.00021785294774219263,0.07398701829579032,148.18322057628686
H1_ISI_ETMX_ST2_BLND_X_GS13_CUR_IN1_DQ,0.0019606509966053664,0.03286971679093291,0.9383518986118892,180.0,0.0008136453218163576,0.002274593130632407,41,41,0.0,0.00013745221146715264,1.238589116982103,1.8920971135888924
H1_SUS_MC1_M1_DAMP_V_IN1_DQ,0.0005829228824673603,0.005261738594469139,0.20746839223314786,60.0,0.0008132242742861905,0.002398973970963497,41,41,0.0,-5.5431362253859754e-05,0.023175735488793873,97.69025187617929
H1_ISI_ETMY_ST1_BLND_Z_T240_CUR_IN1_DQ,0.0017633979801265811,0.03672722845897205,0.985345701800798,60.0,0.0007994383422526192,0.0027208700204229956,41,41,0.0,0.00012619725670475585,41.003325012195674,46.059994393869566
H1_SUS_ITMX_L1_WIT_L_DQ,0.0006728810298307857,0.008367396104740382,0.33973606869520084,60.0,0.0007866626475166628,0.0027698350508364106,41,41,0.0,-0.0008523709696698401,0.0014545975160199253,21.87511766885416
H1_SUS_ZM2_M1_DAMP_L_IN1_DQ,0.0005915884941121606,0.00546658282967965,0.23482942612586788,30.0,0.0007838450611699252,0.0016731737760263617,41,41,0.0,-0.00016009409658388025,0.0027530819380342394,18.119517853438253
H1_SUS_TMSX_M1_DAMP_T_IN1_DQ,0.0008584821539044641,0.013913866053080749,0.5414732735803943,60.0,0.0007743858503079904,0.0025785234618465607,41,41,0.0,-0.00010725908677955012,0.004798043350002067,123.78125263568771
H1_SUS_MC2_M3_WIT_L_DQ,0.0007573124386539028,0.010370508550625927,0.41461685513779667,60.0,0.0007737545473518242,0.0010612791866916604,41,41,0.0,1.7052965024926877e-05,0.09097289135929361,5.432762371761719
H1_ASC_PRC2_Y_OUT_DQ,0.0003686391207372977,0.0004332912272882467,0.006678695152684449,3.5,0.0007725539884122503,0.0008874475163012715,41,41,0.0,3.6847140152862944e-06,51.30087425819328,51.30095143020173
H1_SUS_SR2_M3_WIT_P_DQ,0.0010253229470672945,0.017046085588853503,0.6331953638024621,60.0,0.0007687404993086484,0.0022897640630785833,41,41,0.0,4.114808986240035e-05,0.04444872808114695,269.7435441147667
